Time from,Time to,Cases All, toDo, toDo COM, toDo CPS, toDo LPS, toDo AIO, Picked, Picked COM, Picked CPS, Picked LPS, Picked AIO, Missed,Cases done,Cases Loaded Planed (Cases all) *,Cases Reached Buffer *,Cases Reached Buffer (% / OK) *,Cases Loaded Actual *,Cases Loaded Done (% / OK) *,COM cases sum,COM picks sum,COM cases avg,COM picks avg,Full pallet cases vendor return,Full pallet cases pick,TMS cases pick,LPS cases,LPS layer,LPS tu,LPS pal,AIO cases sum,AIO picks sum,AIO picks DPS,AIO picks OPS,AIO cases avg,AIO picks avg,AIO cases per pick,AIO totes stack *,AIO totes pre stack *,AIO totes pre pick *,AIO pal stack *,AIO pal pre stack *,Depal. cases,  DEP002,  DEP003,  DEP004,  DEP005,  DEP006,  DEP007,  DEP008,  DEP009,  DEP011,  DEP012,  DEP013,  DEP014,  DEP015,  DEP016,  DEP017,  DEP018,  DEP002 TRS,  DEP002 TRL,  DEP003 TRS,  DEP003 TRL,  DEP004 TRS,  DEP005 TRS,  DEP005 TRL,  DEP006 TRS,  DEP006 TRL,  DEP007 TRS,  DEP007 TRL,  DEP008 TRS,  DEP009 TRS,  DEP009 TRL,  DEP011 TRS,  DEP011 TRL,  DEP012 TRS,  DEP013 TRS,  DEP013 TRL,  DEP014 TRS,  DEP014 TRL,  DEP015 TRS,  DEP015 TRL,  DEP016 TRS,  DEP017 TRS,  DEP017 TRL,  DEP018 TRS,  DEP018 TRL,RPK cases,  RPK001L,  RPK001R,  RPK002L,  RPK002R,  RPK003L,  RPK003R,  RPK004L,  RPK004R,  RPK005L,  RPK005R,  RPK006L,  RPK006R,  RPK007L,  RPK007R,"Repl. open cases prio 4,5,6","Repl. open cases prio 1,2,3",Inb. cases,Inb. pallets,Inb. pallets transport,Locations occupied tray (%),Channels occupied tray (%),Locations occupied HBW  (%) Storage only,Channels occupied HBW (%) Storage only,Phase
05/08/2024 14:00,05/08/2024 15:00,24329,,,,,,24267,,,,,62,OK,,,-,,-,19015,19016,475,475,,,,,,,,5836,5589,4743,846,172,164,1.04,639,18,30,21,1,17224,677,1077,1197,930,948,878,1334,1421,891,1366,1217,871,1096,1127,879,1315,437,240,973,104,1197,683,247,676,272,766,112,1334,1253,168,681,210,1366,974,243,703,168,830,266,1127,684,195,1169,146,5692,606,,911,677,711,154,340,,30,935,298,,489,541,32713,118622,40836,421,421, , , , , 
05/08/2024 15:00,05/08/2024 16:00,23453,,,,,,23411,,,,,42,OK,,,-,,-,19059,19059,476,476,,,,,,,,5908,5659,4936,723,174,166,1.04,834,42,75,31,1,12738,730,824,780,1056,950,737,962,954,761,834,676,880,727,319,547,1001,575,155,694,130,780,989,67,866,84,697,40,962,834,120,729,32,834,620,56,724,156,566,161,319,507,40,929,72,5001,,,624,464,719,,568,,958,,936,,339,393,37541,119574,24319,359,356, , , , , 
05/08/2024 16:00,05/08/2024 17:00,23703,,,,,,23638,,,,,65,OK,,,-,,-,18400,18400,460,460,,,,,,,,5573,5374,4903,471,164,158,1.04,811,65,38,29,7,17692,1056,1288,1292,1115,1402,440,1064,1336,997,1244,1084,888,901,1251,1127,1207,872,184,1156,132,1292,973,142,1238,164,440,,1064,1336,,997,,1244,784,300,763,125,636,265,1251,1082,45,1095,112,5703,,,390,630,336,,477,,1443,,831,,775,821,28720,125140,31868,261,261, , , , , 
05/08/2024 17:00,05/08/2024 18:00,27583,,,,,,27542,,,,,41,OK,,,-,,-,17860,17860,447,447,,,,,,,,5704,5455,5003,452,168,160,1.05,239,31,18,8,4,16821,1137,1027,972,844,1431,1357,1279,869,630,1088,953,1048,925,1231,939,1091,1053,84,943,84,972,803,41,1407,24,1269,88,1279,869,,576,54,1088,921,32,960,88,749,176,1231,883,56,1027,64,4677,364,287,170,858,613,305,485,,440,,535,584,,36,27555,125479,18982,214,214, , , , , 
05/08/2024 18:00,05/08/2024 19:00,24959,,,,,,24890,,,,,69,OK,,,-,,-,18682,18682,467,467,,,,,,,,5997,4814,4148,666,176,142,1.25,616,67,13,22,4,15769,1065,929,1076,869,1053,892,1226,987,1068,1154,901,1002,778,1088,810,871,1065,,771,158,1076,720,149,1053,,820,72,1226,977,10,927,141,1154,759,142,1002,,751,27,1088,601,209,791,80,7411,450,432,503,593,461,370,332,315,784,,981,1526,,664,29927,122458,27933,237,237, , , , , 
05/08/2024 19:00,05/08/2024 20:00,25665,,,,,,25597,,,,,68,OK,,,-,,-,17896,17896,447,447,,,,,,,,3909,3560,2799,761,118,108,1.1,220,253,4,8,13,15575,687,839,834,400,736,800,883,935,1217,1285,1262,1272,932,1413,1063,1017,575,112,751,88,834,395,5,640,96,696,104,883,839,96,1170,47,1285,1262,,1208,64,809,123,1413,851,212,908,109,5773,891,,457,343,365,274,,606,800,,387,434,,1216,26222,120487,29659,311,311, , , , , 
05/08/2024 20:00,05/08/2024 21:00,24777,,,,,,24687,,,,,90,OK,,,-,,-,15115,15115,378,378,,,,,,,,689,678,163,515,41,40,1.02,357,111,,13,4,14176,1071,644,370,779,648,1062,1003,755,922,879,945,1221,1317,973,600,987,1007,64,553,91,370,722,57,431,217,948,114,1003,678,77,798,124,879,823,122,1221,,1261,56,973,568,32,892,95,4588,389,253,590,221,367,399,216,123,371,367,,606,6,680,56378,240678,15075,174,174, , , , , 
05/08/2024 21:00,05/08/2024 22:00,23032,,,,,,22968,,,,,64,OK,,,-,,-,5967,5967,153,153,,,,,,,,133,132,47,85,9,9,1.01,161,121,,6,8,16389,963,1281,1300,1235,1386,1287,1439,767,687,995,670,985,855,993,647,899,918,45,1225,56,1300,1187,48,1359,27,1191,96,1439,635,132,639,48,995,646,24,920,65,767,88,993,574,73,899,,6215,252,136,412,432,437,575,600,202,480,462,776,738,422,291,21736,117569,12269,99,99, , , , , 
05/08/2024 22:00,05/08/2024 23:00,19873,,,,,,19797,,,,,76,OK,,,-,,-,3048,3048,254,254,,,,,,,,30,29,29,,3,3,1.03,759,18,,24,1,17889,1182,935,992,1057,1219,1138,1110,905,1096,994,1295,1047,1100,1451,1128,1240,1118,64,890,45,992,977,80,1070,149,1106,32,1110,825,80,1000,96,994,1101,194,1032,15,1002,98,1451,1008,120,1216,24,5862,292,324,352,368,518,270,500,537,288,260,853,158,590,552,15719,109388,4339,49,49, , , , , 
05/08/2024 23:02,06/08/2024 00:00,5939,,,,,,5927,,,,,12,OK,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current time, , , , 
Total, , ,"223313",,,,,,"222724",,,,,"589", , , , , , ,"135042","135043",Ø 356,Ø 356,,,,,,,,"33779","31290","26771","4519",Ø 102,Ø 95, ,"4636","726","178","162","43","144273","8568","8844","8813","8285","9773","8591","10300","8929","8269","9839","9003","9214","8631","9846","7740","9628","7620","948","7956","888","8813","7449","836","8740","1033","7933","658","10300","8246","683","7517","752","9839","7890","1113","8533","681","7371","1260","9846","6758","982","8926","702","50922","3244","1432","4409","4586","4527","2347","3518","1783","5594","2024","5597","4046","2621","5194", , ,"205280","2125","2122", , , , , 
